country,date,source,generation_gwh
Australia,1999-01-01,Bioenergy,0
Australia,1999-01-01,Coal,12497.4
Australia,1999-01-01,Distillate,3.58
Australia,1999-01-01,Gas,674.49
Australia,1999-01-01,Hydro,723.95
Australia,1999-01-01,Solar,0
Australia,1999-01-01,Wind,0
Australia,1999-02-01,Bioenergy,0
Australia,1999-02-01,Coal,11698.84
Australia,1999-02-01,Distillate,2.11
Australia,1999-02-01,Gas,663.53
Australia,1999-02-01,Hydro,597.19
Australia,1999-02-01,Solar,0
Australia,1999-02-01,Wind,0
Australia,1999-03-01,Bioenergy,0
Australia,1999-03-01,Coal,12838.51
Australia,1999-03-01,Distillate,11.15
Australia,1999-03-01,Gas,613.44
Australia,1999-03-01,Hydro,555.48
Australia,1999-03-01,Solar,0
Australia,1999-03-01,Wind,0
Australia,1999-04-01,Bioenergy,0
Australia,1999-04-01,Coal,11910.98
Australia,1999-04-01,Distillate,1.74
Australia,1999-04-01,Gas,659.95
Australia,1999-04-01,Hydro,515.2
Australia,1999-04-01,Solar,0
Australia,1999-04-01,Wind,0
Australia,1999-05-01,Bioenergy,0
Australia,1999-05-01,Coal,12804.47
Australia,1999-05-01,Distillate,3.68
Australia,1999-05-01,Gas,710.02
Australia,1999-05-01,Hydro,502.29
Australia,1999-05-01,Solar,0
Australia,1999-05-01,Wind,0
Australia,1999-06-01,Bioenergy,0
Australia,1999-06-01,Coal,13300.87
Australia,1999-06-01,Distillate,0.31
Australia,1999-06-01,Gas,653.98
Australia,1999-06-01,Hydro,480.15
Australia,1999-06-01,Solar,0
Australia,1999-06-01,Wind,0
Australia,1999-07-01,Bioenergy,0
Australia,1999-07-01,Coal,13649.36
Australia,1999-07-01,Distillate,0
Australia,1999-07-01,Gas,699.01
Australia,1999-07-01,Hydro,565.83
Australia,1999-07-01,Solar,0
Australia,1999-07-01,Wind,0
Australia,1999-08-01,Bioenergy,0
Australia,1999-08-01,Coal,13297.39
Australia,1999-08-01,Distillate,6.66
Australia,1999-08-01,Gas,814.3
Australia,1999-08-01,Hydro,523.46
Australia,1999-08-01,Solar,0
Australia,1999-08-01,Wind,0
Australia,1999-09-01,Bioenergy,0
Australia,1999-09-01,Coal,12404.34
Australia,1999-09-01,Distillate,0
Australia,1999-09-01,Gas,672.29
Australia,1999-09-01,Hydro,450.28
Australia,1999-09-01,Solar,0
Australia,1999-09-01,Wind,0
Australia,1999-10-01,Bioenergy,0
Australia,1999-10-01,Coal,12497.51
Australia,1999-10-01,Distillate,5.88
Australia,1999-10-01,Gas,738.39
Australia,1999-10-01,Hydro,495.74
Australia,1999-10-01,Solar,0
Australia,1999-10-01,Wind,0
Australia,1999-11-01,Bioenergy,0
Australia,1999-11-01,Coal,12226.21
Australia,1999-11-01,Distillate,3.06
Australia,1999-11-01,Gas,674.56
Australia,1999-11-01,Hydro,516.78
Australia,1999-11-01,Solar,0
Australia,1999-11-01,Wind,0
Australia,1999-12-01,Bioenergy,0
Australia,1999-12-01,Coal,12574.07
Australia,1999-12-01,Distillate,0.82
Australia,1999-12-01,Gas,712.09
Australia,1999-12-01,Hydro,505.68
Australia,1999-12-01,Solar,0
Australia,1999-12-01,Wind,0
Australia,2000-01-01,Bioenergy,0
Australia,2000-01-01,Coal,12376.52
Australia,2000-01-01,Distillate,16.09
Australia,2000-01-01,Gas,1003.78
Australia,2000-01-01,Hydro,524.27
Australia,2000-01-01,Solar,0
Australia,2000-01-01,Wind,0
Australia,2000-02-01,Bioenergy,0
Australia,2000-02-01,Coal,12268.59
Australia,2000-02-01,Distillate,5.53
Australia,2000-02-01,Gas,1170.08
Australia,2000-02-01,Hydro,683.46
Australia,2000-02-01,Solar,0
Australia,2000-02-01,Wind,0
Australia,2000-03-01,Bioenergy,0
Australia,2000-03-01,Coal,13169.45
Australia,2000-03-01,Distillate,22.93
Australia,2000-03-01,Gas,819.93
Australia,2000-03-01,Hydro,638.92
Australia,2000-03-01,Solar,0
Australia,2000-03-01,Wind,0
Australia,2000-04-01,Bioenergy,0
Australia,2000-04-01,Coal,12239.28
Australia,2000-04-01,Distillate,3.94
Australia,2000-04-01,Gas,576.84
Australia,2000-04-01,Hydro,464.85
Australia,2000-04-01,Solar,0
Australia,2000-04-01,Wind,0
Australia,2000-05-01,Bioenergy,0
Australia,2000-05-01,Coal,13322.49
Australia,2000-05-01,Distillate,2
Australia,2000-05-01,Gas,820.17
Australia,2000-05-01,Hydro,509.29
Australia,2000-05-01,Solar,0
Australia,2000-05-01,Wind,0
Australia,2000-06-01,Bioenergy,0
Australia,2000-06-01,Coal,13390.51
Australia,2000-06-01,Distillate,6.5
Australia,2000-06-01,Gas,1080.67
Australia,2000-06-01,Hydro,633.46
Australia,2000-06-01,Solar,0
Australia,2000-06-01,Wind,0
Australia,2000-07-01,Bioenergy,0
Australia,2000-07-01,Coal,13941.79
Australia,2000-07-01,Distillate,4.64
Australia,2000-07-01,Gas,780.74
Australia,2000-07-01,Hydro,727.64
Australia,2000-07-01,Solar,0
Australia,2000-07-01,Wind,0
Australia,2000-08-01,Bioenergy,0
Australia,2000-08-01,Coal,13716.76
