country,date,source,generation_gwh
United Kingdom,2019-01-01T00:00:00Z,Biomass,1413.8586666666665
United Kingdom,2019-01-01T00:00:00Z,Gas,13268.05
United Kingdom,2019-01-01T00:00:00Z,Hydro,544.0826666666667
United Kingdom,2019-01-01T00:00:00Z,Nuclear,4568.441833333333
United Kingdom,2019-01-01T00:00:00Z,Solar,282.0812438506667
United Kingdom,2019-01-01T00:00:00Z,Wind,4066.9046666666663
United Kingdom,2019-02-01T00:00:00Z,Biomass,1190.44325
United Kingdom,2019-02-01T00:00:00Z,Gas,9682.831
United Kingdom,2019-02-01T00:00:00Z,Hydro,499.6455833333333
United Kingdom,2019-02-01T00:00:00Z,Nuclear,4272.338333333333
United Kingdom,2019-02-01T00:00:00Z,Solar,589.1271491917499
United Kingdom,2019-02-01T00:00:00Z,Wind,4134.034083333333
United Kingdom,2019-03-01T00:00:00Z,Biomass,1378.2825
United Kingdom,2019-03-01T00:00:00Z,Gas,9245.619583333333
United Kingdom,2019-03-01T00:00:00Z,Hydro,612.9930833333333
United Kingdom,2019-03-01T00:00:00Z,Nuclear,4229.463583333333
United Kingdom,2019-03-01T00:00:00Z,Solar,882.5520784953333
United Kingdom,2019-03-01T00:00:00Z,Wind,4862.225833333333
United Kingdom,2019-04-01T00:00:00Z,Biomass,1207.3631666666665
United Kingdom,2019-04-01T00:00:00Z,Gas,9616.091166666667
United Kingdom,2019-04-01T00:00:00Z,Hydro,314.6250833333333
United Kingdom,2019-04-01T00:00:00Z,Nuclear,4544.817333333333
United Kingdom,2019-04-01T00:00:00Z,Solar,1278.9470099779167
United Kingdom,2019-04-01T00:00:00Z,Wind,3440.4044166666663
United Kingdom,2019-05-01T00:00:00Z,Biomass,1545.9841666666666
United Kingdom,2019-05-01T00:00:00Z,Gas,9612.581333333334
United Kingdom,2019-05-01T00:00:00Z,Hydro,219.41708333333332
United Kingdom,2019-05-01T00:00:00Z,Nuclear,4540.672833333333
United Kingdom,2019-05-01T00:00:00Z,Solar,1482.2829875344166
United Kingdom,2019-05-01T00:00:00Z,Wind,2264.565
United Kingdom,2019-06-01T00:00:00Z,Biomass,1418.1364999999998
United Kingdom,2019-06-01T00:00:00Z,Gas,9106.298583333333
United Kingdom,2019-06-01T00:00:00Z,Hydro,318.1943333333333
United Kingdom,2019-06-01T00:00:00Z,Nuclear,3199.1266666666666
United Kingdom,2019-06-01T00:00:00Z,Solar,1283.2972889825833
United Kingdom,2019-06-01T00:00:00Z,Wind,3024.2347499999996
United Kingdom,2019-07-01T00:00:00Z,Biomass,1374.2854166666666
United Kingdom,2019-07-01T00:00:00Z,Gas,9927.833333333334
United Kingdom,2019-07-01T00:00:00Z,Hydro,309.40799999999996
United Kingdom,2019-07-01T00:00:00Z,Nuclear,3849.704333333333
United Kingdom,2019-07-01T00:00:00Z,Solar,1482.7466247801665
United Kingdom,2019-07-01T00:00:00Z,Wind,2580.145833333333
United Kingdom,2019-08-01T00:00:00Z,Biomass,1391.5151666666666
United Kingdom,2019-08-01T00:00:00Z,Gas,7233.662916666666
United Kingdom,2019-08-01T00:00:00Z,Hydro,435.2813333333333
United Kingdom,2019-08-01T00:00:00Z,Nuclear,4297.8367499999995
United Kingdom,2019-08-01T00:00:00Z,Solar,1348.8640647339998
United Kingdom,2019-08-01T00:00:00Z,Wind,3787.5089166666667
United Kingdom,2019-09-01T00:00:00Z,Biomass,1254.533
United Kingdom,2019-09-01T00:00:00Z,Gas,7513.0126666666665
United Kingdom,2019-09-01T00:00:00Z,Hydro,485.143
United Kingdom,2019-09-01T00:00:00Z,Nuclear,4630.916499999999
United Kingdom,2019-09-01T00:00:00Z,Solar,1025.16462695325
United Kingdom,2019-09-01T00:00:00Z,Wind,3935.7161666666666
United Kingdom,2019-10-01T00:00:00Z,Biomass,1188.1242499999998
United Kingdom,2019-10-01T00:00:00Z,Gas,9753.396416666666
United Kingdom,2019-10-01T00:00:00Z,Hydro,559.4236666666667
United Kingdom,2019-10-01T00:00:00Z,Nuclear,4927.166916666666
United Kingdom,2019-10-01T00:00:00Z,Solar,564.0548003686666
United Kingdom,2019-10-01T00:00:00Z,Wind,4707.2240833333335
United Kingdom,2019-11-01T00:00:00Z,Biomass,1840.0851666666665
United Kingdom,2019-11-01T00:00:00Z,Gas,10788.43175
United Kingdom,2019-11-01T00:00:00Z,Hydro,361.5498333333333
United Kingdom,2019-11-01T00:00:00Z,Nuclear,4803.354666666666
United Kingdom,2019-11-01T00:00:00Z,Solar,288.19335668225
United Kingdom,2019-11-01T00:00:00Z,Wind,4025.6540833333333
United Kingdom,2019-12-01T00:00:00Z,Biomass,1959.9310833333332
United Kingdom,2019-12-01T00:00:00Z,Gas,8674.567916666667
