date,Battery (Charging) -  GWh,Pumps -  GWh,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
1999-01-01,0.00,-42.41,12497.40,0.00,3.58,674.49,0.00,723.95,0.00,0.00,13067627.78,0.00,3755.77,438512.46,974.95,0.00,0.00,7092317.61,560292930.48,0.00,3711809.52,43506423.71,0.00,29710553.69,0.00,0.00
1999-02-01,0.00,-21.76,11698.84,0.00,2.11,663.53,0.00,597.19,0.00,0.00,12302870.18,0.00,2218.78,431109.83,984.26,17.32,0.00,1861679.76,356109629.05,0.00,233179.49,52809247.46,0.00,16609344.37,0.00,0.00
1999-03-01,0.00,-64.14,12838.51,0.00,11.15,613.44,0.00,555.48,0.00,0.00,13507624.73,0.00,11689.93,409086.01,998.13,0.00,0.00,3644524.52,354182085.91,0.00,1769107.01,28703226.81,0.00,16394230.14,0.00,0.00
1999-04-01,0.00,-18.47,11910.98,0.00,1.74,659.95,0.00,515.20,0.00,0.00,12500819.62,0.00,1812.13,426522.27,989.27,0.00,0.00,368684.65,385209012.65,0.00,65833.80,43837098.22,0.00,16764136.83,0.00,0.00
1999-05-01,0.00,-52.86,12804.47,0.00,3.68,710.02,0.00,502.29,0.00,0.00,13347283.60,0.00,3866.45,451650.05,988.20,0.00,0.00,1146792.24,361774054.36,0.00,294641.58,29189966.00,0.00,15489611.85,0.00,0.00
1999-06-01,0.00,-39.98,13300.87,0.00,0.31,653.98,0.00,480.15,0.00,0.00,13818242.94,0.00,328.57,422643.73,989.29,0.00,0.00,947234.09,418301481.36,0.00,13930.27,32311022.11,0.00,17985347.28,0.00,0.00
1999-07-01,0.00,-35.85,13649.36,0.00,0.00,699.01,0.00,565.83,0.00,0.00,14336741.99,0.00,4.86,451855.99,993.97,0.00,0.00,852255.49,350413396.11,0.00,91.65,28415421.46,0.00,15502691.50,0.00,0.00
1999-08-01,0.00,-33.76,13297.39,0.00,6.66,814.30,0.00,523.46,0.00,0.00,13994222.96,0.00,6993.63,518901.81,993.98,0.00,0.00,1204366.24,452482015.20,0.00,1286672.52,40105994.77,0.00,17651506.83,0.00,0.00
1999-09-01,0.00,-3.54,12404.34,0.00,0.00,672.29,0.00,450.28,0.00,0.00,13075114.11,0.00,0.00,444360.91,999.71,17.01,0.00,75481.62,290093786.58,0.00,0.00,25692131.14,0.00,9986551.80,0.00,0.00
1999-10-01,0.00,-7.80,12497.51,0.00,5.88,738.39,0.00,495.74,0.00,0.00,13132852.05,0.00,6166.95,491730.57,992.79,0.00,0.00,131608.74,303585831.65,0.00,404743.63,33467991.08,0.00,11841593.44,0.00,0.00
1999-11-01,0.00,-11.95,12226.21,0.00,3.06,674.56,0.00,516.78,0.00,0.00,12831033.42,0.00,3214.41,442868.26,990.19,0.00,0.00,280269.38,320484465.21,0.00,519497.43,59633639.96,0.00,12961806.92,0.00,0.00
1999-12-01,0.00,-30.10,12574.07,0.00,0.82,712.09,0.00,505.68,0.00,0.00,13240642.78,0.00,867.41,473121.86,996.52,0.00,0.00,592217.85,275886244.58,0.00,36984.22,25103490.70,0.00,10475469.91,0.00,0.00
2000-01-01,0.00,-35.84,12376.52,0.00,16.09,1003.78,0.00,524.27,0.00,0.00,12851365.20,0.00,16891.46,659295.67,974.27,0.00,0.00,11153738.83,690614423.54,0.00,11328437.12,67320450.71,0.00,31601810.74,0.00,0.00
2000-02-01,0.00,-51.93,12268.59,0.00,5.53,1170.08,0.00,683.46,0.00,0.00,12785809.81,0.00,5824.84,753093.13,962.28,55.38,0.00,1643356.34,610239268.81,0.00,2077618.36,121670715.41,0.00,47939879.24,0.00,0.00
2000-03-01,0.00,-63.57,13169.45,0.00,22.93,819.93,0.00,638.92,0.00,0.00,13832246.33,0.00,24071.63,537153.51,986.69,47.34,0.00,4967116.47,568232716.41,0.00,3187475.62,82055091.18,0.00,31388369.33,0.00,0.00
2000-04-01,0.00,-32.45,12239.28,0.00,3.94,576.84,0.00,464.85,0.00,0.00,12842450.28,0.00,4133.77,373415.58,997.55,0.00,0.00,1274284.76,367115546.24,0.00,514571.34,24853063.58,0.00,13499209.99,0.00,0.00
2000-05-01,0.00,-37.57,13322.49,0.00,2.00,820.17,0.00,509.29,0.00,0.00,13938036.33,0.00,2097.51,503792.56,988.20,58.62,0.00,1433140.48,730527434.33,0.00,1780096.07,60837482.56,0.00,45531313.22,0.00,0.00
2000-06-01,0.00,-65.63,13390.51,0.00,6.50,1080.67,0.00,633.46,0.00,0.00,13918140.82,0.00,6762.08,649939.39,968.72,0.00,0.00,1936301.75,573943992.88,0.00,882909.27,63073894.65,0.00,35460986.63,0.00,0.00
2000-07-01,0.00,-95.91,13941.79,0.00,4.64,780.74,0.00,727.64,0.00,0.00,14481394.28,0.00,4873.68,481796.39,974.55,0.00,0.00,3538104.69,694230728.97,0.00,661275.00,49697037.39,0.00,38540000.92,0.00,0.00
2000-08-01,0.00,-122.86,13716.76,0.00,2.30,777.19,0.00,739.04,0.00,0.00,14205069.67,0.00,2414.22,485806.53,972.27,55.33,0.00,3793596.42,712977394.69,0.00,284147.92,54290439.56,0.00,49161947.81,0.00,0.00
2000-09-01,0.00,-22.14,12517.10,0.00,0.05,566.79,0.00,662.95,0.00,0.00,13109476.78,0.00,48.63,351900.47,980.81,27.65,0.00,478015.81,332230110.95,0.00,5465.85,19326478.58,0.00,16369839.52,0.00,0.00
2000-10-01,0.00,-12.16,12782.74,0.00,4.50,601.46,0.00,595.84,0.00,0.00,13435672.98,0.00,4726.84,371377.19,988.51,0.00,0.00,251549.11,457104332.83,0.00,574019.47,30158618.92,0.00,20880520.75,0.00,0.00
2000-11-01,0.00,-67.66,12751.75,0.00,8.40,645.31,0.00,381.49,0.00,0.00,13308137.25,0.00,8866.29,396555.93,999.58,0.00,0.00,1257400.85,444938363.60,0.00,503360.98,36697766.85,0.00,15023214.30,0.00,0.00
2000-12-01,0.00,-106.33,13277.95,0.00,5.36,611.92,0.00,375.23,0.00,0.00,13920156.75,0.00,5611.21,368459.50,1009.18,0.00,0.00,2048273.88,403296024.06,0.00,669110.95,26577229.07,0.00,12972102.62,0.00,0.00
2001-01-01,0.00,-142.38,13497.88,0.00,5.06,970.87,0.00,508.25,0.00,0.00,14137144.56,0.00,5523.14,566541.07,991.21,0.00,0.00,3336741.19,856340771.69,0.00,2181280.55,105299808.89,0.00,84870405.40,0.00,0.00
2001-02-01,0.00,-124.78,12580.02,0.00,2.38,908.54,0.00,456.66,0.00,0.00,13180930.87,0.00,2741.31,515220.95,991.03,0.00,0.00,2585982.10,459069413.65,0.00,558929.40,59299465.34,0.00,22652446.41,0.00,0.00
2001-03-01,0.00,-107.92,13322.07,0.00,1.89,860.52,0.00,477.91,0.00,0.00,14020127.51,0.00,1986.34,484387.55,996.70,39.25,0.00,2382265.91,496768213.51,0.00,713191.81,41009488.64,0.00,21644582.37,0.00,0.00
2001-04-01,0.00,-68.24,12533.19,0.00,0.06,674.59,0.00,373.70,0.00,0.00,13155188.60,0.00,59.73,370453.62,1000.92,0.00,0.00,1479405.87,375031012.81,0.00,10945.83,24254963.33,0.00,12534880.79,0.00,0.00
2001-05-01,0.00,-32.36,13377.67,0.00,0.18,893.99,0.00,663.19,0.00,0.00,13925001.12,0.00,183.16,488757.81,967.20,0.00,0.00,810321.08,486357740.86,0.00,11579.70,36439791.66,0.00,26866535.13,0.00,0.00
2001-06-01,0.00,-23.85,13433.33,0.00,0.35,860.20,0.00,575.30,0.00,0.00,14064105.78,0.00,370.26,465389.02,978.75,33.03,0.00,517770.27,430306731.22,0.00,27211.56,30826592.47,0.00,19493810.57,0.00,0.00
2001-07-01,0.00,-26.58,14314.33,0.00,0.01,833.48,0.00,486.45,0.00,0.00,14961170.56,0.00,6.42,450883.16,987.47,35.51,0.00,493803.43,457295056.18,0.00,177.89,44000453.50,0.00,16384193.75,0.00,0.00
2001-08-01,0.00,-29.50,14110.92,0.00,0.75,915.07,0.00,429.16,0.00,0.00,14784510.40,0.00,834.87,484133.59,989.83,50.75,0.00,547812.40,617150939.72,0.00,20869.06,62592816.63,0.00,28783810.65,0.00,0.00
2001-09-01,0.00,-15.88,12727.75,0.00,0.23,765.51,0.00,473.59,0.00,0.00,13336180.15,0.00,241.44,406640.11,985.08,0.00,0.00,280552.79,331526572.32,0.00,5413.47,21282384.94,0.00,13027643.63,0.00,0.00
2001-10-01,0.00,-57.62,12963.49,0.00,2.03,835.08,0.00,577.50,0.00,0.00,13538361.51,0.00,2133.12,443591.14,976.51,32.66,0.00,1169959.83,412370979.26,0.00,649650.18,29469358.62,0.00,21911837.07,0.00,0.00
2001-11-01,0.00,-16.15,12879.00,0.00,19.47,648.10,0.00,438.87,0.00,0.00,13390588.31,0.00,20445.51,371470.05,986.63,0.00,0.00,302078.06,325196695.56,0.00,533987.13,19503355.66,0.00,13248762.97,0.00,0.00
2001-12-01,0.00,-27.60,12937.54,0.00,44.01,804.24,0.00,477.00,0.00,0.00,13293819.09,0.00,46207.85,434082.15,967.61,33.84,0.00,580651.15,420088521.71,0.00,1541965.14,27994914.44,0.00,25776193.92,0.00,0.00
2002-01-01,0.00,-48.73,13560.05,0.00,19.73,741.12,0.00,453.57,0.00,0.00,14101031.45,0.00,20716.07,411124.46,986.90,0.00,0.00,895429.46,537543068.50,0.00,1036062.79,30032041.30,0.00,20011764.15,0.00,0.00
2002-02-01,0.00,-45.33,12559.28,0.00,25.62,656.71,0.00,484.90,0.00,0.00,13119644.65,0.00,26900.43,363695.93,987.51,0.00,0.00,779698.69,481683896.65,0.00,1425784.55,26228714.50,0.00,22020424.76,0.00,0.00
2002-03-01,0.00,-21.66,13643.81,0.00,12.06,712.86,0.00,348.48,0.00,0.00,14206226.49,0.00,12679.69,386408.40,993.86,0.00,0.00,363877.70,472453185.81,0.00,713580.64,25545257.35,0.00,15671673.62,0.00,0.00
2002-04-01,0.00,-20.09,13049.44,0.00,2.58,708.32,0.00,222.53,0.00,0.00,13506503.63,0.00,2704.23,384537.79,995.06,0.00,0.00,326591.87,643953546.56,0.00,79255.39,28106739.01,0.00,15740183.93,0.00,0.00
2002-05-01,0.00,-14.96,13803.95,0.00,6.33,963.34,0.00,404.30,0.00,0.00,14184646.84,0.00,6706.18,519997.04,970.22,0.00,0.00,356773.00,944834760.71,0.00,1372334.63,89516944.52,0.00,85728308.36,0.00,0.00
2002-06-01,0.00,-23.89,13991.06,0.00,0.58,918.58,0.00,444.95,0.00,0.00,14530085.18,0.00,615.64,493381.99,979.96,0.00,0.00,429140.38,724981517.07,0.00,249099.21,53640563.29,0.00,58747514.99,0.00,0.00
2002-07-01,0.00,-38.78,14738.30,0.00,0.63,1009.84,0.00,561.39,0.00,0.00,15361621.18,0.00,695.88,547910.49,977.80,51.42,0.00,855824.00,705473564.42,0.00,481424.03,58331774.40,0.00,46312295.99,0.00,0.00
2002-08-01,0.00,-34.43,14392.30,0.00,0.38,878.70,0.00,426.76,0.00,0.00,15048530.10,0.00,406.72,457713.36,989.97,0.00,0.00,579884.36,428626514.19,0.00,12984.51,27157098.86,0.00,15180104.63,0.00,0.00
