country,date,source,generation_gwh
United States,2019-01-01,Coal,1454060.546
United States,2019-01-01,Gas,1576649.34
United States,2019-01-01,Hydro,389602.993
United States,2019-01-01,Nuclear,1153807.791
United States,2019-01-01,Oil,8447.952
United States,2019-01-01,Other,89914.866
United States,2019-01-01,Solar,49512.933
United States,2019-01-01,Wind,368627.10599999997
United States,2019-02-01,Coal,1158864.213
United States,2019-02-01,Gas,1503047.376
United States,2019-02-01,Hydro,345548.004
United States,2019-02-01,Nuclear,1013630.517
United States,2019-02-01,Oil,5090.009
United States,2019-02-01,Other,78898.281
United States,2019-02-01,Solar,51326.778
United States,2019-02-01,Wind,340043.742
United States,2019-03-01,Coal,1153524.442
United States,2019-03-01,Gas,1573427.111
United States,2019-03-01,Hydro,405341.559
United States,2019-03-01,Nuclear,1023435.6
United States,2019-03-01,Oil,5432.343
United States,2019-03-01,Other,79318.415
United States,2019-03-01,Solar,76902.507
United States,2019-03-01,Wind,375519.36
United States,2019-04-01,Coal,887740.095
United States,2019-04-01,Gas,1421451.852
United States,2019-04-01,Hydro,422227.374
United States,2019-04-01,Nuclear,943086.993
United States,2019-04-01,Oil,4230.612
United States,2019-04-01,Other,81022.23
United States,2019-04-01,Solar,89131.29
United States,2019-04-01,Wind,431081.079
United States,2019-05-01,Coal,1065915.91
United States,2019-05-01,Gas,1614383.794
United States,2019-05-01,Hydro,472510.383
United States,2019-05-01,Nuclear,1049049.531
United States,2019-05-01,Oil,5043.531
United States,2019-05-01,Other,92869.947
United States,2019-05-01,Solar,94866.057
United States,2019-05-01,Wind,376140.53
United States,2019-06-01,Coal,1156267.883
United States,2019-06-01,Gas,1914301.898
United States,2019-06-01,Hydro,427847.697
United States,2019-06-01,Nuclear,1077978.351
United States,2019-06-01,Oil,5272.2210000000005
United States,2019-06-01,Other,92259.993
United States,2019-06-01,Solar,104053.014
United States,2019-06-01,Wind,325868.037
United States,2019-07-01,Coal,1478396.472
United States,2019-07-01,Gas,2434189.91
United States,2019-07-01,Hydro,387022.26
United States,2019-07-01,Nuclear,1132075.659
United States,2019-07-01,Oil,17069.8
United States,2019-07-01,Other,99744.018
United States,2019-07-01,Solar,107179.995
United States,2019-07-01,Wind,318372.174
United States,2019-08-01,Coal,1373341.189
United States,2019-08-01,Gas,2459663.547
United States,2019-08-01,Hydro,353389.338
United States,2019-08-01,Nuclear,1123686.561
United States,2019-08-01,Oil,15697.584
United States,2019-08-01,Other,104103.33
United States,2019-08-01,Solar,103041.378
United States,2019-08-01,Wind,286170.453
United States,2019-09-01,Coal,1255390.819
United States,2019-09-01,Gas,2089351.731
United States,2019-09-01,Hydro,290303.91
United States,2019-09-01,Nuclear,1034499.255
United States,2019-09-01,Oil,12778.566
United States,2019-09-01,Other,87416.505
United States,2019-09-01,Solar,90912.111
United States,2019-09-01,Wind,359390.082
United States,2019-10-01,Coal,979860.777
United States,2019-10-01,Gas,1788367.071
United States,2019-10-01,Hydro,258912.048
United States,2019-10-01,Nuclear,963182.313
United States,2019-10-01,Oil,9876.882
United States,2019-10-01,Other,94884.875
